               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,              0.0607,            0.012578,            0.014772,             0.51105,             0.94224,             0.63877,             0.22106,            0.066075,           0.0064914,           0.0079805,            0.008812,            0.008812,            0.008812
                  62,            0.062818,            0.012829,            0.014454,             0.59295,               0.975,             0.94645,             0.36196,            0.063963,           0.0064722,           0.0079195,           0.0087922,           0.0087922,           0.0087922
                  63,            0.062334,            0.013371,            0.019034,             0.97358,               0.975,             0.98852,             0.30852,            0.055788,           0.0063954,           0.0077588,           0.0087724,           0.0087724,           0.0087724
                  64,            0.054754,            0.011492,            0.014933,             0.97358,               0.975,             0.98852,             0.30852,            0.055788,           0.0063954,           0.0077588,           0.0087526,           0.0087526,           0.0087526
                  65,            0.054645,             0.01163,            0.016179,             0.84981,               0.975,             0.97299,             0.44889,             0.04742,           0.0060548,           0.0071172,           0.0087328,           0.0087328,           0.0087328
                  66,            0.049475,              0.0118,            0.012799,             0.34088,             0.83265,             0.42742,             0.21298,            0.065289,           0.0060992,           0.0067579,            0.008713,            0.008713,            0.008713
                  67,            0.066529,            0.011082,            0.012339,             0.34088,             0.83265,             0.42742,             0.21298,            0.065289,           0.0060992,           0.0067579,           0.0086932,           0.0086932,           0.0086932
                  68,             0.06046,            0.010273,            0.014143,             0.41228,                0.95,             0.49987,             0.34016,            0.055855,           0.0058793,           0.0064621,           0.0086734,           0.0086734,           0.0086734
                  69,            0.059319,            0.012573,            0.011775,             0.59009,               0.825,             0.84973,             0.40173,            0.065687,           0.0057379,           0.0059104,           0.0086536,           0.0086536,           0.0086536
                  70,             0.06627,            0.010002,            0.016983,             0.59009,               0.825,             0.84973,             0.40173,            0.065687,           0.0057379,           0.0059104,           0.0086338,           0.0086338,           0.0086338
                  71,            0.065259,            0.011023,            0.017682,             0.72874,             0.96448,             0.93868,             0.56104,            0.058313,           0.0056331,           0.0053663,            0.008614,            0.008614,            0.008614
                  72,            0.061282,            0.011195,            0.012808,             0.58166,             0.87335,             0.77001,             0.27344,             0.05996,           0.0055746,           0.0053214,           0.0085942,           0.0085942,           0.0085942
                  73,            0.061044,            0.011566,            0.012473,             0.58166,             0.87335,             0.77001,             0.27344,             0.05996,           0.0055746,           0.0053214,           0.0085744,           0.0085744,           0.0085744
                  74,            0.058337,             0.01087,            0.013794,             0.78353,             0.96109,             0.92081,              0.4695,            0.055631,             0.00548,           0.0051673,           0.0085546,           0.0085546,           0.0085546
                  75,            0.056393,            0.010486,            0.012647,             0.82543,                   1,             0.98051,             0.44256,            0.050266,           0.0054988,           0.0051407,           0.0085348,           0.0085348,           0.0085348
                  76,             0.05144,            0.010786,            0.014369,             0.82543,                   1,             0.98051,             0.44256,            0.050266,           0.0054988,           0.0051407,            0.008515,            0.008515,            0.008515
                  77,            0.048882,            0.010488,            0.016169,             0.91312,                   1,             0.99381,             0.65379,            0.046135,           0.0053323,           0.0052109,           0.0084952,           0.0084952,           0.0084952
                  78,            0.046181,           0.0089906,            0.012908,             0.49745,               0.975,             0.75908,             0.22111,            0.065691,            0.006059,           0.0052898,           0.0084754,           0.0084754,           0.0084754
                  79,            0.063503,            0.010091,            0.012385,             0.49745,               0.975,             0.75908,             0.22111,            0.065691,            0.006059,           0.0052898,           0.0084556,           0.0084556,           0.0084556
                  80,            0.057273,           0.0095174,            0.014486,             0.80603,             0.86873,             0.95047,              0.4814,            0.057449,           0.0054815,           0.0052619,           0.0084358,           0.0084358,           0.0084358
